,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted,gender
485,None,12,Critical_acct_other_credits_existing,new_car,1163,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,44,28,none,own,1,skilled_employee/official,1,yes,yes,0,male
486,0_to_200DM,6,Delay_in_past,new_car,1209,<100DM,unemployed,4,male_single,None,4,building_society_savings_agreement/life_insurance,47,49,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
487,None,12,Existing_credits_paid_till_now,radio/television,3077,<100DM,1_to_4yrs,2,male_single,None,4,car_or_other_nonsavings,52,124,none,own,1,skilled_employee/official,1,yes,yes,0,male
488,None,24,Existing_credits_paid_till_now,new_car,3757,<100DM,>7yrs,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,62,424,none,for_free,1,skilled_employee/official,1,yes,yes,0,female
489,None,10,Existing_credits_paid_till_now,new_car,1418,100_to_500DM,1_to_4yrs,3,male_single,None,2,real_estate,35,73,none,rent,1,unskilled_resident,1,none,no,0,male
490,None,6,Existing_credits_paid_till_now,new_car,3518,<100DM,1_to_4yrs,2,male_single,guarantor,3,building_society_savings_agreement/life_insurance,26,280,none,rent,1,skilled_employee/official,1,none,yes,0,male
491,None,12,Critical_acct_other_credits_existing,radio/television,1934,<100DM,>7yrs,2,male_single,None,2,unknown/no_property,26,280,none,own,2,skilled_employee/official,1,none,yes,0,male
492,0_to_200DM,27,No_credits_taken_or_all_paid,business,8318,<100DM,>7yrs,2,female_divorced/separated/married,None,4,unknown/no_property,42,24,none,for_free,2,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
493,None,6,Critical_acct_other_credits_existing,radio/television,1237,100_to_500DM,1_to_4yrs,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,249,none,own,2,skilled_employee/official,1,none,yes,0,female
494,0_to_200DM,6,Existing_credits_paid_till_now,radio/television,368,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,38,40,none,own,1,skilled_employee/official,1,none,yes,0,male
495,<0DM,12,Critical_acct_other_credits_existing,new_car,2122,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,39,33,none,rent,2,unskilled_resident,2,none,no,0,male
496,<0DM,24,Existing_credits_paid_till_now,furniture/equipment,2996,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,4,car_or_other_nonsavings,20,508,none,own,1,skilled_employee/official,1,none,yes,1,male
497,0_to_200DM,36,Existing_credits_paid_till_now,furniture/equipment,9034,100_to_500DM,<1yr,4,male_single,co-applicant,1,unknown/no_property,29,193,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
498,None,24,Critical_acct_other_credits_existing,furniture/equipment,1585,<100DM,4_to_7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,40,28,none,own,2,skilled_employee/official,1,none,yes,0,male
499,0_to_200DM,18,Existing_credits_paid_till_now,radio/television,1301,<100DM,>7yrs,4,male_married/widowed,guarantor,2,real_estate,32,124,none,own,1,unskilled_resident,1,none,yes,0,male
500,>200DM,6,Critical_acct_other_credits_existing,new_car,1323,100_to_500DM,>7yrs,2,male_divorced/separated,None,4,car_or_other_nonsavings,28,220,none,own,2,skilled_employee/official,2,yes,yes,0,male
501,<0DM,24,Existing_credits_paid_till_now,new_car,3123,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,249,none,own,1,skilled_employee/official,1,none,yes,1,female
502,<0DM,36,Existing_credits_paid_till_now,used_car,5493,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,35,193,none,for_free,1,skilled_employee/official,2,none,yes,0,male
503,>200DM,9,Existing_credits_paid_till_now,radio/television,1126,100_to_500DM,>7yrs,2,male_divorced/separated,None,4,real_estate,49,73,none,own,1,skilled_employee/official,1,none,yes,0,male
504,0_to_200DM,24,Critical_acct_other_credits_existing,radio/television,1216,100_to_500DM,<1yr,4,male_single,None,4,unknown/no_property,38,40,bank,own,2,skilled_employee/official,2,none,yes,1,male
505,<0DM,24,Existing_credits_paid_till_now,new_car,1207,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,none,rent,1,skilled_employee/official,1,none,yes,1,female
506,None,10,Existing_credits_paid_till_now,new_car,1309,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,guarantor,4,building_society_savings_agreement/life_insurance,27,249,none,own,1,unskilled_resident,1,none,yes,1,male
507,>200DM,15,Critical_acct_other_credits_existing,used_car,2360,500_to_1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,36,60,none,own,1,skilled_employee/official,1,yes,yes,0,male
508,0_to_200DM,15,All_credits_paid_duly,new_car,6850,100_to_500DM,unemployed,1,male_single,None,2,building_society_savings_agreement/life_insurance,34,88,none,own,1,management_self-employed_highly_qualified/officer,2,yes,yes,1,male
509,None,24,Existing_credits_paid_till_now,radio/television,1413,<100DM,1_to_4yrs,4,male_married/widowed,None,2,building_society_savings_agreement/life_insurance,28,220,none,own,1,skilled_employee/official,1,none,yes,0,male
510,None,39,Existing_credits_paid_till_now,used_car,8588,100_to_500DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,45,33,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
511,<0DM,12,Existing_credits_paid_till_now,new_car,759,<100DM,4_to_7yrs,4,male_single,None,2,real_estate,26,280,none,own,1,skilled_employee/official,1,none,yes,1,male
512,None,36,Existing_credits_paid_till_now,used_car,4686,<100DM,1_to_4yrs,2,male_single,None,2,unknown/no_property,32,124,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
513,>200DM,15,Existing_credits_paid_till_now,business,2687,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,26,280,none,rent,1,skilled_employee/official,1,yes,yes,0,male
514,0_to_200DM,12,Delay_in_past,radio/television,585,<100DM,1_to_4yrs,4,male_married/widowed,co-applicant,4,real_estate,20,508,none,rent,2,skilled_employee/official,1,none,yes,0,male
515,None,24,Existing_credits_paid_till_now,new_car,2255,Unknown_or_no_savings_acct,<1yr,4,male_single,None,1,building_society_savings_agreement/life_insurance,54,168,none,own,1,skilled_employee/official,1,none,yes,0,male
516,<0DM,6,Critical_acct_other_credits_existing,new_car,609,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,37,49,none,own,2,skilled_employee/official,1,none,no,0,female
517,<0DM,6,Critical_acct_other_credits_existing,new_car,1361,<100DM,<1yr,2,male_single,None,4,real_estate,40,28,none,own,1,unskilled_resident,2,none,no,0,male
518,None,36,Critical_acct_other_credits_existing,furniture/equipment,7127,<100DM,<1yr,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,385,none,rent,2,skilled_employee/official,1,yes,yes,1,female
519,<0DM,6,Existing_credits_paid_till_now,new_car,1203,100_to_500DM,>7yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,43,25,none,own,1,skilled_employee/official,1,yes,yes,0,male
520,None,6,Critical_acct_other_credits_existing,radio/television,700,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,36,60,none,for_free,2,skilled_employee/official,1,none,yes,0,male
521,None,24,Critical_acct_other_credits_existing,repairs,5507,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,44,28,none,for_free,2,skilled_employee/official,1,none,yes,0,male
522,<0DM,18,Existing_credits_paid_till_now,radio/television,3190,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,1,female
523,<0DM,48,No_credits_taken_or_all_paid,furniture/equipment,7119,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,145,none,for_free,2,skilled_employee/official,2,none,yes,1,male
524,None,24,Existing_credits_paid_till_now,used_car,3488,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,own,1,skilled_employee/official,1,none,yes,0,female
525,0_to_200DM,18,Existing_credits_paid_till_now,radio/television,1113,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,4,real_estate,26,280,none,own,1,unskilled_resident,2,none,yes,0,female
526,0_to_200DM,26,Existing_credits_paid_till_now,used_car,7966,<100DM,<1yr,2,male_single,None,3,car_or_other_nonsavings,30,168,none,own,2,skilled_employee/official,1,none,yes,0,male
527,None,15,Critical_acct_other_credits_existing,education,1532,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,1,none,yes,0,female
528,None,4,Critical_acct_other_credits_existing,radio/television,1503,<100DM,4_to_7yrs,2,male_single,None,1,real_estate,42,24,none,own,2,unskilled_resident,2,none,yes,0,male
529,<0DM,36,Existing_credits_paid_till_now,radio/television,2302,<100DM,1_to_4yrs,4,male_divorced/separated,None,4,car_or_other_nonsavings,31,145,none,rent,1,skilled_employee/official,1,none,yes,1,male
530,<0DM,6,Existing_credits_paid_till_now,new_car,662,<100DM,<1yr,3,male_single,None,4,real_estate,41,25,none,own,1,unskilled_resident,2,yes,yes,0,male
531,0_to_200DM,36,Existing_credits_paid_till_now,education,2273,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,124,none,own,2,skilled_employee/official,2,none,yes,0,male
532,0_to_200DM,15,Existing_credits_paid_till_now,new_car,2631,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,220,none,rent,2,skilled_employee/official,1,yes,yes,1,female
533,None,12,Delay_in_past,used_car,1503,<100DM,1_to_4yrs,4,male_married/widowed,None,4,real_estate,41,25,none,rent,1,skilled_employee/official,1,none,yes,0,male
534,None,24,Existing_credits_paid_till_now,radio/television,1311,100_to_500DM,4_to_7yrs,4,male_married/widowed,None,3,building_society_savings_agreement/life_insurance,26,280,none,own,1,skilled_employee/official,1,yes,yes,0,male
535,None,24,Existing_credits_paid_till_now,radio/television,3105,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,car_or_other_nonsavings,25,313,none,own,2,skilled_employee/official,1,none,yes,0,male
536,>200DM,21,Critical_acct_other_credits_existing,education,2319,<100DM,<1yr,2,male_divorced/separated,None,1,car_or_other_nonsavings,33,105,none,rent,1,skilled_employee/official,1,none,yes,1,male
537,<0DM,6,Existing_credits_paid_till_now,new_car,1374,Unknown_or_no_savings_acct,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,75,1113,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
538,0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,3612,<100DM,>7yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,37,49,none,own,1,skilled_employee/official,1,yes,yes,0,female
539,<0DM,48,Existing_credits_paid_till_now,new_car,7763,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,42,24,bank,for_free,1,management_self-employed_highly_qualified/officer,1,none,yes,1,male
540,>200DM,18,Existing_credits_paid_till_now,furniture/equipment,3049,<100DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,45,33,stores,own,1,unskilled_resident,1,none,yes,0,female
541,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1534,<100DM,<1yr,1,male_married/widowed,None,1,real_estate,23,385,none,rent,1,skilled_employee/official,1,none,yes,1,male
542,None,24,Delay_in_past,new_car,2032,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,60,348,none,for_free,2,skilled_employee/official,1,yes,yes,0,male
543,<0DM,30,Existing_credits_paid_till_now,furniture/equipment,6350,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,31,145,none,own,1,skilled_employee/official,1,none,yes,1,male
544,>200DM,18,Existing_credits_paid_till_now,furniture/equipment,2864,<100DM,1_to_4yrs,2,male_single,None,1,real_estate,34,88,none,own,1,unskilled_resident,2,none,yes,1,male
545,None,12,Critical_acct_other_credits_existing,new_car,1255,<100DM,>7yrs,4,male_single,None,4,real_estate,61,385,none,own,2,unskilled_resident,1,none,yes,0,male
546,<0DM,24,Delay_in_past,new_car,1333,<100DM,unemployed,4,male_single,None,2,real_estate,43,25,none,for_free,2,skilled_employee/official,2,none,yes,1,male
547,None,24,Critical_acct_other_credits_existing,new_car,2022,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,1,yes,yes,0,female
548,None,24,Existing_credits_paid_till_now,radio/television,1552,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,124,bank,own,1,skilled_employee/official,2,none,yes,0,male
549,<0DM,12,All_credits_paid_duly,radio/television,626,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,real_estate,24,348,bank,own,1,unskilled_resident,1,none,yes,1,female
550,None,48,Critical_acct_other_credits_existing,used_car,8858,Unknown_or_no_savings_acct,4_to_7yrs,2,male_single,None,1,unknown/no_property,35,73,none,for_free,2,skilled_employee/official,1,yes,yes,0,male
551,None,12,Critical_acct_other_credits_existing,repairs,996,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,4,real_estate,23,385,none,own,2,skilled_employee/official,1,none,yes,0,female
552,None,6,All_credits_paid_duly,radio/television,1750,500_to_1000DM,>7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,45,33,bank,own,1,unskilled_resident,2,none,yes,0,male
553,<0DM,48,Existing_credits_paid_till_now,radio/television,6999,<100DM,4_to_7yrs,1,male_married/widowed,guarantor,1,real_estate,34,88,none,own,2,skilled_employee/official,1,yes,yes,1,male
554,0_to_200DM,12,Critical_acct_other_credits_existing,new_car,1995,100_to_500DM,<1yr,4,male_single,None,1,car_or_other_nonsavings,27,249,none,own,1,skilled_employee/official,1,none,yes,0,male
555,0_to_200DM,9,Existing_credits_paid_till_now,education,1199,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,67,649,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
556,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1331,<100DM,<1yr,2,male_single,None,1,car_or_other_nonsavings,22,424,stores,own,1,skilled_employee/official,1,none,yes,1,male
557,0_to_200DM,18,No_credits_taken_or_all_paid,new_car,2278,100_to_500DM,<1yr,3,female_divorced/separated/married,None,3,car_or_other_nonsavings,28,220,none,own,2,skilled_employee/official,1,none,yes,1,female
558,None,21,No_credits_taken_or_all_paid,new_car,5003,Unknown_or_no_savings_acct,1_to_4yrs,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,29,193,bank,own,2,skilled_employee/official,1,yes,yes,1,female
559,<0DM,24,All_credits_paid_duly,furniture/equipment,3552,<100DM,4_to_7yrs,3,male_single,None,4,car_or_other_nonsavings,27,249,bank,own,1,skilled_employee/official,1,none,yes,1,male
560,0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,1928,<100DM,<1yr,2,male_single,None,2,real_estate,31,145,none,own,2,unskilled_resident,1,none,yes,1,male
561,<0DM,24,Existing_credits_paid_till_now,used_car,2964,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,49,73,bank,for_free,1,skilled_employee/official,2,yes,yes,0,male
562,<0DM,24,All_credits_paid_duly,radio/television,1546,<100DM,4_to_7yrs,4,male_single,guarantor,4,car_or_other_nonsavings,24,348,bank,rent,1,unskilled_resident,1,none,yes,1,male
563,>200DM,6,Delay_in_past,radio/television,683,<100DM,<1yr,2,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,29,193,bank,own,1,skilled_employee/official,1,none,yes,0,female
564,0_to_200DM,36,Existing_credits_paid_till_now,new_car,12389,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,None,4,unknown/no_property,37,49,none,for_free,1,skilled_employee/official,1,yes,yes,1,male
565,0_to_200DM,24,Delay_in_past,business,4712,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,37,49,bank,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
566,0_to_200DM,24,Delay_in_past,radio/television,1553,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,rent,2,skilled_employee/official,1,yes,yes,0,female
567,<0DM,12,Existing_credits_paid_till_now,new_car,1372,<100DM,4_to_7yrs,2,male_divorced/separated,None,3,car_or_other_nonsavings,35,193,none,own,1,skilled_employee/official,1,none,yes,1,male
568,None,24,Critical_acct_other_credits_existing,radio/television,2578,>1000DM,>7yrs,2,male_single,None,2,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,0,male
569,0_to_200DM,48,Existing_credits_paid_till_now,radio/television,3979,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,1,car_or_other_nonsavings,41,25,none,own,2,skilled_employee/official,2,yes,yes,0,male
570,<0DM,48,Existing_credits_paid_till_now,radio/television,6758,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,35,193,none,own,1,skilled_employee/official,1,yes,yes,1,female
571,<0DM,24,Existing_credits_paid_till_now,furniture/equipment,3234,<100DM,<1yr,4,female_divorced/separated/married,None,4,real_estate,23,385,none,rent,1,unskilled_resident,1,yes,yes,1,female
572,None,30,Critical_acct_other_credits_existing,radio/television,5954,<100DM,4_to_7yrs,3,male_single,co-applicant,2,car_or_other_nonsavings,38,40,none,own,1,skilled_employee/official,1,none,yes,0,male
573,None,24,Existing_credits_paid_till_now,used_car,5433,Unknown_or_no_savings_acct,unemployed,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,26,280,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
574,<0DM,15,Existing_credits_paid_till_now,business,806,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,22,424,none,own,1,unskilled_resident,1,none,yes,0,female
575,0_to_200DM,9,Existing_credits_paid_till_now,radio/television,1082,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,27,249,none,own,2,unskilled_resident,1,none,yes,0,male
576,None,15,Critical_acct_other_credits_existing,furniture/equipment,2788,<100DM,4_to_7yrs,2,female_divorced/separated/married,co-applicant,3,car_or_other_nonsavings,24,348,bank,own,2,skilled_employee/official,1,none,yes,0,female
577,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,2930,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,27,249,none,own,1,skilled_employee/official,1,none,yes,0,female
578,None,24,Critical_acct_other_credits_existing,education,1927,Unknown_or_no_savings_acct,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,33,105,none,own,2,skilled_employee/official,1,yes,yes,0,female
579,0_to_200DM,36,Critical_acct_other_credits_existing,new_car,2820,<100DM,<1yr,4,male_divorced/separated,None,4,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,1,male
580,None,24,Existing_credits_paid_till_now,retraining,937,<100DM,<1yr,4,male_married/widowed,None,3,car_or_other_nonsavings,27,249,none,own,2,unskilled_resident,1,none,yes,0,male
581,0_to_200DM,18,Critical_acct_other_credits_existing,new_car,1056,<100DM,>7yrs,3,male_single,guarantor,3,real_estate,30,168,bank,own,2,skilled_employee/official,1,none,yes,1,male
582,0_to_200DM,12,Critical_acct_other_credits_existing,new_car,3124,<100DM,<1yr,1,male_single,None,3,real_estate,49,73,bank,own,2,unskilled_resident,2,none,yes,0,male
583,None,9,Existing_credits_paid_till_now,furniture/equipment,1388,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,35,193,none,rent,1,skilled_employee/official,1,none,yes,0,female
584,0_to_200DM,36,Existing_credits_paid_till_now,repairs,2384,<100DM,<1yr,4,male_single,None,1,unknown/no_property,33,105,none,rent,1,unskilled_resident,1,none,yes,1,male
585,None,12,Existing_credits_paid_till_now,new_car,2133,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,52,124,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,female
586,<0DM,18,Existing_credits_paid_till_now,furniture/equipment,2039,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,4,real_estate,20,508,bank,rent,1,skilled_employee/official,1,none,yes,1,female
587,<0DM,9,Critical_acct_other_credits_existing,new_car,2799,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,35,193,none,rent,2,skilled_employee/official,2,none,yes,0,male
588,<0DM,12,Existing_credits_paid_till_now,furniture/equipment,1289,<100DM,1_to_4yrs,4,male_single,guarantor,1,building_society_savings_agreement/life_insurance,21,465,none,own,1,unskilled_resident,1,none,yes,0,male
589,<0DM,18,Existing_credits_paid_till_now,domestic_appliances,1217,<100DM,1_to_4yrs,4,male_married/widowed,None,3,real_estate,47,49,none,own,1,unskilled_resident,1,yes,yes,1,male
590,<0DM,12,Critical_acct_other_credits_existing,furniture/equipment,2246,<100DM,>7yrs,3,male_single,None,3,building_society_savings_agreement/life_insurance,60,348,none,own,2,skilled_employee/official,1,none,yes,1,male
591,<0DM,12,Critical_acct_other_credits_existing,radio/television,385,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,real_estate,58,280,none,own,4,unskilled_resident,1,yes,yes,0,female
592,0_to_200DM,24,Delay_in_past,new_car,1965,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,42,24,none,rent,2,skilled_employee/official,1,yes,yes,0,female
593,None,21,Existing_credits_paid_till_now,business,1572,>1000DM,>7yrs,4,female_divorced/separated/married,None,4,real_estate,36,60,bank,own,1,unskilled_resident,1,none,yes,0,female
594,0_to_200DM,24,Existing_credits_paid_till_now,new_car,2718,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,20,508,none,rent,1,unskilled_resident,1,yes,yes,1,female
595,<0DM,24,All_credits_paid_duly,other,1358,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,3,car_or_other_nonsavings,40,28,stores,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
596,0_to_200DM,6,All_credits_paid_duly,new_car,931,100_to_500DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,32,124,stores,own,1,unskilled_resident,1,none,yes,1,female
597,<0DM,24,Existing_credits_paid_till_now,new_car,1442,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,rent,2,skilled_employee/official,1,none,yes,1,female
598,0_to_200DM,24,No_credits_taken_or_all_paid,business,4241,<100DM,1_to_4yrs,1,male_single,None,4,real_estate,36,60,none,own,3,unskilled_resident,1,yes,yes,1,male
599,None,18,Critical_acct_other_credits_existing,new_car,2775,<100DM,4_to_7yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,31,145,bank,own,2,skilled_employee/official,1,none,yes,1,male
600,None,24,Delay_in_past,business,3863,<100DM,1_to_4yrs,1,male_single,None,2,unknown/no_property,32,124,none,for_free,1,skilled_employee/official,1,none,yes,0,male
601,0_to_200DM,7,Existing_credits_paid_till_now,radio/television,2329,<100DM,<1yr,1,female_divorced/separated/married,guarantor,1,real_estate,45,33,none,own,1,skilled_employee/official,1,none,yes,0,female
602,0_to_200DM,9,Existing_credits_paid_till_now,furniture/equipment,918,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,30,168,none,own,1,skilled_employee/official,1,none,yes,1,female
603,0_to_200DM,24,All_credits_paid_duly,education,1837,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,34,88,bank,for_free,1,unskilled_resident,1,none,yes,1,female
604,None,36,Existing_credits_paid_till_now,furniture/equipment,3349,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,28,220,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
605,>200DM,10,Existing_credits_paid_till_now,furniture/equipment,1275,<100DM,<1yr,4,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,own,1,skilled_employee/official,1,none,yes,0,female
606,<0DM,24,All_credits_paid_duly,furniture/equipment,2828,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,22,424,stores,own,1,skilled_employee/official,1,yes,yes,0,male
607,None,24,Critical_acct_other_credits_existing,business,4526,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,74,1048,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
608,0_to_200DM,36,Existing_credits_paid_till_now,radio/television,2671,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,50,88,none,for_free,1,skilled_employee/official,1,none,yes,1,female
609,None,18,Existing_credits_paid_till_now,radio/television,2051,<100DM,<1yr,4,male_single,None,1,real_estate,33,105,none,own,1,skilled_employee/official,1,none,yes,0,male
610,None,15,Existing_credits_paid_till_now,used_car,1300,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,45,33,bank,for_free,1,skilled_employee/official,2,none,yes,0,male
611,<0DM,12,Existing_credits_paid_till_now,domestic_appliances,741,100_to_500DM,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,22,424,none,own,1,skilled_employee/official,1,none,yes,1,female
612,>200DM,10,Existing_credits_paid_till_now,new_car,1240,100_to_500DM,>7yrs,1,female_divorced/separated/married,None,4,unknown/no_property,48,60,none,for_free,1,unskilled_resident,2,none,yes,1,female
613,<0DM,21,Existing_credits_paid_till_now,radio/television,3357,>1000DM,<1yr,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,193,bank,own,1,skilled_employee/official,1,none,yes,0,female
614,<0DM,24,All_credits_paid_duly,used_car,3632,<100DM,1_to_4yrs,1,female_divorced/separated/married,guarantor,4,car_or_other_nonsavings,22,424,bank,rent,1,skilled_employee/official,1,none,no,0,female
615,None,18,Delay_in_past,furniture/equipment,1808,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,1,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,1,female
616,0_to_200DM,48,No_credits_taken_or_all_paid,business,12204,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,48,60,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
617,0_to_200DM,60,Delay_in_past,radio/television,9157,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,unknown/no_property,27,249,none,for_free,1,management_self-employed_highly_qualified/officer,1,none,yes,0,male
618,<0DM,6,Critical_acct_other_credits_existing,new_car,3676,<100DM,1_to_4yrs,1,male_single,None,3,real_estate,37,49,none,rent,3,skilled_employee/official,2,none,yes,0,male
619,0_to_200DM,30,Existing_credits_paid_till_now,furniture/equipment,3441,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,co-applicant,4,car_or_other_nonsavings,21,465,none,rent,1,skilled_employee/official,1,none,yes,1,female
620,None,12,Existing_credits_paid_till_now,new_car,640,<100DM,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,49,73,none,own,1,unskilled_resident,1,none,yes,0,male
621,0_to_200DM,21,Critical_acct_other_credits_existing,business,3652,<100DM,4_to_7yrs,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,249,none,own,2,skilled_employee/official,1,none,yes,0,male
